entity	claims
De_la_Fuente	Wikimedia disambiguation page||de la Fuente
Susan_Foreman	Whoniverse||female||Carole Ann Ford||Roberta Tovey||Jane Asher||The Doctor||companion||Time Lord||television character||time traveller||Susan||Doctor Who||Gallifrey||Gallifreyan||Gallifreyan||English||Doctor Who||Foreman||Campbell
Moda_Center	J. E. Dunn Construction Group||Portland Trail Blazers||Portland Fire||Anschutz Entertainment Group||Ellerbe Becket||Portland||Vulcan Inc.||arena||United States of America||basketball||Moda Health
John_Harris_(critic)	human||Wilmslow||John||United Kingdom||journalist||writer||The Queen's College||Wilmslow High School||Loreto College||Harris||English||male
Free_Exercise_Clause	First Amendment to the Constitution of the United States of America||WikiProject Human Rights||clause
Smithsonian_Institution	United States of America||Category:Smithsonian Institution||Washington, D.C.||James Smithson||Joel Roberts Poinsett||institution||business||nonprofit organization||Smithsonian American Art Museum||National Museum of the American Indian||National Museum of African Art||National Portrait Gallery||Hirshhorn Museum and Sculpture Garden||Smithsonian Astrophysical Observatory||Smithsonian Environmental Research Center||Cooper Hewitt, Smithsonian Design Museum||National Museum of Natural History||National Museum of American History||Smithsonian Folkways Recordings||Anacostia Community Museum||Smithsonian Center for Folklife and Cultural Heritage||Freer Gallery of Art||Arthur M. Sackler Gallery||National Museum of African American History and Culture||National Zoological Park||National Air and Space Museum||Smithsonian Institution Archives||Renwick Gallery||Woodrow Wilson International Center for Scholars||National Postal Museum||Archives of American Art||Smithsonian Conservation Biology Institute||Smithsonian Marine Station at Fort Pierce||Museum Conservation Institute||Smithsonian Libraries and Archives||Smithsonian Latino Center||Smithsonian Asian Pacific American Center||Folkways Records||Arts and Industries Building||Harvard–Smithsonian Center for Astrophysics||Smithsonian Scientific Diving Program||Smithsonian Tropical Research Institute||Smithsonian Institution Scholarly Press||Smithsonian Institution Press||Smithsonian-Mason School of Conservation||Smithsonian Books||Smithsonian Enterprises||Archives of American Gardens||National Museum of Asian Art||Smithsonian Gardens||Smithsonian Field Book Project||Digital Library Federation||Association of Research Libraries||World Digital Library||IIIF Consortium||Coalition for Networked Information||International GLAM Labs Community||educational system||James Smithson||Category:Smithsonian Institution people||Gachalá Emerald||Bismarck Sapphire Necklace||Enid A. Haupt Garden||Nymph||Olomana||Harmony in Blue and Gold: The Little Blue Girl||Lonnie Bunch||Survey of GLAM open access policy and practice||Granat Encyclopedic Dictionary||The Nuttall Encyclopædia||Metropolitan Museum of Art Constituent Database||Secretary of the Smithsonian||Digital Public Library of America||501(c)(3) organization||Museum of the Rockies||Weitzman National Museum of American Jewish History||Wing Luke Museum of the Asian Pacific American Experience||federal government of the United States||built using slave labor||English||Board of Regents of the Smithsonian Institution||Wikipedia:Vital articles/Level/4
Financial_Times	Category:Financial Times||Nikkei Inc.||Pearson plc||daily newspaper||newspaper||web service||English||broadsheet||journalism||United Kingdom||Bracken House||finance||financial market||FT Alphaville||TNW||United Kingdom||Nikkei Inc.||Pearson plc||Roula Khalaf||column||Wikipedia:Vital articles/Level/4
United_States_Army_Special_Forces	branch of service||military unit branch-type class||United States Army||United States of America||Cold War||Fort Bragg||army||British Commandos||United States special operations forces||United States Army formation
St._Charles,_Missouri	United States of America||city in the United States||county seat||St. Charles County||Ludwigsburg||Category:St. Charles, Missouri||Category:Births in St. Charles, Missouri||St. Charles County||Category:People from St. Charles, Missouri||St. Charles Convention Center||Central Time Zone||Dan Borgmeyer
PBS	television network||public broadcaster||Category:Public Broadcasting Service||Crystal City||United States of America||National Educational Television||PBS Kids||television||Public Service Broadcasting||Silver Anvil Awards||Educational Television Stations||501(c)(3) organization||Hartford N. Gunn Jr.||John Macy||James Day||Wikipedia:Vital articles/Level/4
Love	advanced emotion||theme||Category:Love||theory of emotion||psychology terminology||hatred||infatuation||limerence||Love||Amour||Amor||Liebe||Ljubav||Armastus||Cinta||Amo||Amore||Meile||Miłość||Laska||Ljubezen||falling in love||Wikipedia:List of articles all languages should have||Wikipedia:Vital articles/Level/4||Dictionnaire Infernal||Bible Encyclopedia of Archimandrite Nicephorus||Jewish Encyclopedia of Brockhaus and Efron||Jewish Encyclopedia of Brockhaus and Efron||Metropolitan Museum of Art Tagging Vocabulary||Brockhaus and Efron Encyclopedic Dictionary||Small Brockhaus and Efron Encyclopedic Dictionary||condition||affection||emotion||intimacy||Template:Love sidebar
Honeywell	business||enterprise||public company||AlliedSignal||Allied Corporation||Bendix Corporation||Measurex||Albert Butz||Mark C. Honeywell||Category:Honeywell||New York Stock Exchange,  Inc.||Charlotte||United States of America||aerospace industry||chemical industry||health care industry||manufacturing industry||retail||supply chain||industrial safety||joint-stock company||public company||Honeywell Specialty Chemicals Seelze||Elster Group||Honeywell||Honeywell (Germany)||Honeywell (Australia)||Honeywell (Canada)||Honeywell (India)||Honeywell (France)||Honeywell (Netherlands)||Honeywell (Switzerland)||S&P 500||Darius Adamczyk||Linux Foundation||electronics||turbocharger||Computer Control Company, Inc.
Content_management_system	computer program||software||management system||Category:Content management systems||software category||list of content management systems||Template:Content management systems
Mohammad_Mosaddegh	male||Tehran||Iran||Ahmadabad-e Mosaddeq||National Front||human||Sciences Po||University of Paris||University of Neuchâtel||politician||diplomat||writer||Member of the Islamic Consultative Assembly||Prime Minister of Iran||Member of the Islamic Consultative Assembly||Foreign Affairs Minister of Iran||wāli||wāli||doctorate||Mohammad||Mohammed||Armenian Soviet Encyclopedia||Obalky knih.cz||Shia Islam||Persian||Gholamhossein Mossadegh||Category:Mohammad Mosaddegh||Hedayatollah Matin-Daftari
Mexico	North America||outline of Mexico||federal republic||Mexico||President of Mexico||Mexican coat of arms||Laguna Salada||Wikipedia:List of articles all languages should have||WikiProject Zika Corpus||Wikipedia:Vital articles/Level/4||Latin America||North America||Hispanic America||MIKTA||Mexican peso||Pico de Orizaba||Category:Deaths in Mexico||Category:Births in Mexico||Pacific War||Group of Five||Economic Complementation Agreement No. 55||World War II||NEMA 1-15||NEMA 5-15||Category:Mexican people||President of Mexico||Portal:Mexico||United Nations||Organization for Economic Cooperation and Development||World Trade Organization||G20||Asia-Pacific Economic Cooperation||North American Free Trade Agreement||International Development Association||Latin American Integration Association||Inter-American Development Bank||International Bank for Reconstruction and Development||Conference on Disarmament||International Finance Corporation||International Red Cross and Red Crescent Movement||United Nations Conference on Trade and Development||International Olympic Committee||International Criminal Court||International Trade Union Confederation||Food and Agriculture Organization||International Federation of Red Cross and Red Crescent Societies||International Fund for Agricultural Development||Group of 15||Rio Group||Interpol||Mercosur||Non-Aligned Movement||International Civil Aviation Organization||Organization of American States||American Convention on Human Rights||United Nations Economic Commission for Latin America and the Caribbean||Community of Latin American and Caribbean States||International Hydrographic Organization||International Atomic Energy Agency||International Organization for Migration||International Coffee Organization||Bank for International Settlements||Multilateral Investment Guarantee Agency||Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean||Australia Group||Caribbean Development Bank||Central American Bank for Economic Integration||Nuclear Suppliers Group||Organisation for the Prohibition of Chemical Weapons||UNESCO||Group on Earth Observations||Universal Postal Union||International Telecommunication Union||World Meteorological Organization||World Health Organization||National Aeronautics and Space Administration||Sytin Military Encyclopedia||Brockhaus and Efron Encyclopedic Dictionary||Small Brockhaus and Efron Encyclopedic Dictionary||Jewish Encyclopedia of Brockhaus and Efron||The Nuttall Encyclopædia||Encyclopædia Britannica 11th edition||Catholic Encyclopedia||Great Soviet Encyclopedia (1926–1947)||Draft History of Qing||Category:Mexico||WikiProject Mexico||Andrés Manuel López Obrador||Enrique Peña Nieto||Felipe Calderón||Ernesto Zedillo||Carlos Salinas de Gortari||Miguel de la Madrid||José López Portillo||Luis Echeverría||Gustavo Díaz-Ordaz Bolaños||Adolfo López Mateos||Adolfo Ruiz Cortines||Miguel Alemán Valdés||Manuel Ávila Camacho||Lázaro Cárdenas||Vicente Fox Quesada||Abelardo L. Rodríguez||Pascual Ortiz Rubio||Emilio Portes Gil||Plutarco Elías Calles||Álvaro Obregón||Adolfo de la Huerta||Venustiano Carranza||Francisco S. Carvajal||Francisco I. Madero||Spanish||Nahuatl||Yucatec Maya||languages of Mexico||Category:Films shot in Mexico||Himno Nacional Mexicano||Toque de Bandera||.mx||history of Mexico||right||geography of Mexico||Mexico City||Category:Burials in Mexico||sovereign state||country||federal republic||democratic republic||constitutional republic||nation||empire||empire||Next Eleven||OECD country||right||Federal government of Mexico||Mexican War of Independence||Mexican Revolution||Cinco de Mayo||Pastry War||partly free country||Mestizos in Mexico||indigenous peoples of Mexico||White Mexicans||Afro Mexicans||Central Time Zone||Mountain Time Zone||Pacific Time Zone||Eastern Time Zone||Guatemala||Belize||United States of America||Andrés Manuel López Obrador||Enrique Peña Nieto||Felipe Calderón||Vicente Fox Quesada||Ernesto Zedillo||Mexico City||Aguascalientes||Baja California||Baja California Sur||Campeche||Chiapas||Chihuahua||Coahuila||Colima||Durango||Guanajuato||Guerrero||Hidalgo||Jalisco||State of Mexico||Michoacán||Morelos||Nayarit||Nuevo León||Oaxaca State||Puebla||Querétaro||Quintana Roo||San Luis Potosí||Sinaloa||Sonora||Tabasco||Tamaulipas State||Tlaxcala||Veracruz||Yucatán||Zacatecas||911||flag of Mexico||Lagun Onari||Congress of the Union||Italy||Brazil||Germany||Australia||Ukraine||Saudi Arabia||Holy See||Russia||United States of America||Israel||Norway||Morocco||Nigeria||Senegal||State of Palestine||United Kingdom||Republic of Texas||Slovenia||Romania||Spain||Singapore||Sweden||Poland||Switzerland||Sahrawi Arab Democratic Republic||Peru||Turkey||European Union||Netherlands||Venezuela||Suriname||Paraguay||Uruguay||Panama||Nicaragua||Pakistan||Taiwan||Thailand||United Arab Emirates||Vietnam||Tanzania||Philippines||Colombia||Guatemala||France||Iceland||Argentina||Belgium||Canada||Denmark||Hungary||Egypt||Finland||Cuba||Indonesia||Malaysia||Japan||Ecuador||Czech Republic||El Salvador||Honduras||Belize||Bolivia||Haiti||Armenia||Austria||Lebanon||Costa Rica||Ethiopia||Azerbaijan||Guyana||Georgia||Dominican Republic||Angola||Kenya||Afghanistan||Kazakhstan||Jamaica||Bulgaria||Ivory Coast||Kuwait||Estonia||Jordan||South Korea||Serbia||People's Republic of China||Greece||India||Bangladesh||Algeria||New Zealand||South Africa||Chile||Croatia||Republic of Ireland||North Korea||Bank of Mexico||Spanish||Coatzospan Mixtec||Afro-Seminole Creole||Tezoatlán Mixtec||El Nayar Cora||Santa Teresa Cora||Isthmus-Pajapan Nahuatl||Isthmus-Mecayapan Nahuatl||Northern Tepehuan||San Mateo Del Mar Huave||Lowland Tarahumara||Isthmus-Cosoleacaque Nahuatl||Copainalá Zoque||Central Tarahumara||Tepeuxila Cuicatec||Teutila Cuicatec||Mocho’||Zenzontepec Chatino||Opata||Ayapa Zoque||Temascaltepec Nahuatl||O'odham||Mazaltepec Zapotec||Tetelcingo Nahuatl||Mixtepec Mixtec||Asunción Mixtepec Zapotec||Ayoquesco Zapotec||Central Puebla Nahuatl||Cajonos Zapotec||Mitlatongo-Yutanduchi Mixtec||Chinantec of Tepetotutla||Chimalapa Zoque||Chichicapan Zapotec||Chinantec of Ojitlán||Chinantec of Palantla||Chinantec of Ozumacín||Zoogocho Zapotec||Guerrero Amuzgo||Ometepec Náhuatl||Nuyoo Mixtec||Coyotepec Popoloca||Nuxaá Mixtec||Choapan Zapotec||Chiquihuitlán Mazatec||Coatepec Nahuatl||Coatecas Altas Zapotec||Michoacán Nahuatl||Ozolotepec Zapotec||Ozumatlán Totonac||Pinotepa Mixtec||Chocho||Highland Oaxaca Chontal||Huamelula||Elotepec Zapotec||Quiavicuzas Zapotec||Quiegolani Zapotec||Yatee Zapotec||Quioquitani Zapotec||Petapa Zapotec||Peñasco Mixtec||El Alto Zapotec||Quiatoni Zapotec||Huarijio||Ocotlán Zapotec||Mitla Zapotec||Filomeno Mata Totonac||Highland Chinantec||Güilá Zapotec||Sayula Popoluca||Texistepec Popoluca||Oluta Popoluca||Sierra Popoluca||San Miguel Piedras Mixtec||Guelavía Zapotec||Santa Catarina Albarradas Zapotec||Mixtepec Zapotec||San Felipe Otomi||Guerrero Nahuatl||Santo Domingo Coatlán Zapotec||Orizaba Nahuatl||Central Nahuatl||Silacayoapan Mixtec||Ixtayutla Mixtec||Tabasco Nahuatl||Ixcatlán Mazatec||Isthmus Mixe||Soyaltepec Mazatec||Cochimí||Tepecano||Mexican Sign Language||Kiliwa||Ixtenco Otomi||Southern Puebla Mixtec||Soyaltepec Mixtec||Tabaa Zapotec||Chichimeca Jonaz||Sochiapam Chinantec||Jalapa Mazatec||Tecóatl Mazatec||Tecpatlán Totonac||Texmelucan Zapotec||Temoaya Otomi||Rincón Zapotec||Tilquiapan Zapotec||San Bartolo Yautepec Zapotec||Tataltepec Chatino||Tilapa Otomi||Chazumba Mixtec||Tidaá Mixtec||Tacahua Mixtec||San Agustín Mixtepec Zapotec||San Baltazar Loxicha Zapotec||Tipai||Tilantongo Mixtec||Tlahuitoltepec Mixe||Tlacolulita Zapotec||Amatlán Zapotec||Totontepec Mixe||Totomachapan Zapotec||Albarradas Zapotec||Aloápam Zapotec||Tututepec Mixtec||Morelos Nahuatl||Usila Chinantec||Lachixío Zapotec||Lachiguiri Zapotec||Chicomuceltec||Ayautla Mazatec||Chiapanec||Lealao Chinantec||Lapaguía Zapotec||Xadani Zapotec||Xanaguía Zapotec||Xanica Zapotec||Yalálag Zapotec||Yatzachi Zapotec||Yatzechi Zapotec||Xicotepec Totonac||Yoloxóchitl Mixtec||Pima Bajo||Loxicha Zapotec||Sierra Otomi||Zacatepec Mixtec||Zacatepec Chatino||Zaachila Zapotec||Zaniza Zapotec||Ch’ol||Sierra Totonac||Chontal Maya||Huehuetla Tepehua||Misantla Totonac||Atatláhuca–San Miguel Mixtec||Tejalapan Zapotec||Ayutla Mixtec||Chigmecatitlán Mixtec||Miahuatlán Zapotec||Cacaloxtepec Mixtec||Apasco-Apoala Mixtec||Sindihui Mixtec||San Vicente Coatlán Zapotec||Guevea Zapotec||Amoltepec Mixtec||Chayuco-Jamiltepec Mixtec||Mazatlán Mazatec||Yavesía Zapotec||Cuyamecalco Mixtec||Chuj||Ixcatec||Teenek||Wixarika||Lacandon||Mazahua||Mayo||Tubar||Paipai||Isthmus Zapotec||Seri||Tektitek||Pisaflores Tepehua||Papantla Totonac||Tlachichilco Tepehua||Upper Necaxa Totonac||Tojolab'al||Purépecha||Zapotec||Tzotzil||Tzeltal||Cocopah||Yucatec Maya||Jakaltek||Mam||Yaqui||Mayan Sign Language||Huaxcaleca Nahuatl||Zacatlán-Ahuacatlán-Tepetzintla Nahuatl||Northern Puebla Nahuatl||Western Huasteca Nahuatl||Tlamacazapa Nahuatl||Central Huasteca Nahuatl||Comaltepec Chinantec||Northern Pame||Central Pame||Southern Pame||Southwestern Tepehuan||Eastern Huasteca Nahuatl||Southeastern Puebla Nahuatl||Chicahuaxtla Triqui||Tlahuica||Tlacoatzintepec Chinantec||Yareni Zapotec||San Marcos Tlacoyalco Popoloca||Ipalapa Amuzgo||Eastern Highland Chatino||Yutanduchi Mixtec||Western Durango Nahuatl||Lalana Chinantec||Chiltepec Chinantec||Tepinapa Chinantec||Valle Nacional Chinantec||Western Juxtlahuaca Mixtec||Jamiltepec Mixtec||San Juan Colorado Mixtec||Santa Maria Del Mar Huave||Tamazola Mixtec||San Dionisio del Mar Huave||San Juan Atzingo Popoloca||Tijaltepec Mixtec||Huitepec Mixtec||San Francisco Matlatzinca||Michoacán Mazahua||Yosondúa Mixtec||Northwest Oaxaca Mixtec||San Miguel El Grande Mixtec||Tlazoyaltepec Mixtec||Northern Oaxaca Nahuatl||Sinicahua Mixtec||Santa Lucía Monteverde Mixtec||Highland Puebla Nahuatl||Itundujia Mixtec||Northern Tarahumara||Southwestern Tarahumara||Itunyoso Triqui||Copala Triqui||Southern Rincon Zapotec||Alacatlatzala Mixtec||Rayón Zoque||Sierra de Juárez Zapotec||Nopala Chatino||Coyutla Totonac||Southeastern Tepehuán||Francisco León Zoque||Western Highland Purepecha||Eastern Durango Nahuatl||Santa María La Alta Nahuatl||Tlacoapa Me'phaa||Kickapoo||Querétaro Otomi||Mezquital Otomi||San Francisco del Mar Huave||Juquila Mixe||North Central Mixe||Yucuañe Mixtec||Tenango Otomi||Northern Tlaxiaco Mixtec||Azoyú Me'phaa||Malinaltepec Me'phaa||San Felipe Otlaltepec Popoloca||Juxtlahuaca Mixtec||Alcozauca Mixtec||Texcatepec Otomi||Coatlán Mixe||Ocotepec Mixtec||Mazatlán Mixe||San Luís Temalacayuca Popoloca||Acatepec Me'phaa||Western Highland Chatino||Atatláhuca Mixtec||San Juan Teita Mixtec||Mezontla Popoloca||Peñoles Mixtec||Santa Inés Ahuatempan Popoloca||Quetzaltepec Mixe||Metlatónoc Mixtec||San Pedro Amuzgos Amuzgo||Southeastern Tarahumara||Huautla Mazatec||Sierra Negra Nahuatl||Akateko||Mazatecan||English||Political Constitution of Mexico||culture of Mexico||Category:Maps of Mexico||Mexican Government Open Data||datos.gob.mx||economy of Mexico||Republic of Yucatán||Aztec Empire||Viceroyalty of New Spain||First Mexican Empire||Restored Republic||demographics of Mexico||Meksyk||Pacific Ocean||Atlantic Ocean||Chapultepec Castle||National Palace||Hospicio Cabañas||Palacio de Minería||Political Constitution of Mexico||reform laws||Template:States of Mexico
John_Boy_and_Billy	duo||John Boy||Billy||United States of America
Jeremiah_Wright	male||United States of America||human||Philadelphia||Howard University||University of Chicago||Valparaiso University||University of Chicago Divinity School||Virginia Union University||Chicago Theological Seminary||United Theological Seminary||United States Navy||United States Marine Corps||Jeremiah||theologian||Wright||Protestantism||WikiProject African diaspora||Dwight Hopkins
Watergate_complex	United States of America||building complex||National Register of Historic Places listed place||Luigi Moretti||Società Generale Immobiliare||Washington, D.C.||Preferred Hotels & Resorts
San_Bruno,_California	United States of America||city in the United States||Category:San Bruno, California||San Mateo County||Category:People from San Bruno, California
Fourteenth_Amendment_to_the_United_States_Constitution	United States Constitution||United States of America||constitutional amendment||law||Equal Protection Clause||Citizenship Clause||Privileges or Immunities Clause||Clàusula de degut procés||United States of America||WikiProject Human Rights||list of amendments to the United States Constitution
White_House_Chief_of_Staff	President of the United States||position||chief of staff||chief of staff||minister||Category:White House Chiefs of Staff||Executive Office of the President of the United States||White House Office||United States of America||Alexander Haig||Donald Rumsfeld||Mick Mulvaney||Ron Klain||list of White House Chiefs of Staff||United States of America||political management||Chairman of the Joint Chiefs of Staff||United States Cabinet
Tour_de_France	Portal:Tour de France||2.PT||2.UWT||Category:Tour de France||1903 Tour de France||1904 Tour de France||1905 Tour de France||1906 Tour de France||1907 Tour de France||1908 Tour de France||1909 Tour de France||1910 Tour de France||1911 Tour de France||1912 Tour de France||1913 Tour de France||1914 Tour de France||1919 Tour de France||1920 Tour de France||1921 Tour de France||1922 Tour de France||1923 Tour de France||1924 Tour de France||1925 Tour de France||1926 Tour de France||1927 Tour de France||1928 Tour de France||1929 Tour de France||1930 Tour de France||1931 Tour de France||1932 Tour de France||1933 Tour de France||1934 Tour de France||1935 Tour de France||1936 Tour de France||1937 Tour de France||1938 Tour de France||1939 Tour de France||1947 Tour de France||1948 Tour de France||1949 Tour de France||1950 Tour de France||1951 Tour de France||1952 Tour de France||1953 Tour de France||1954 Tour de France||1955 Tour de France||1956 Tour de France||1957 Tour de France||1958 Tour de France||1959 Tour de France||1960 Tour de France||1961 Tour de France||1962 Tour de France||1963 Tour de France||1964 Tour de France||1965 Tour de France||1966 Tour de France||1967 Tour de France||1968 Tour de France||1969 Tour de France||1970 Tour de France||1971 Tour de France||1972 Tour de France||1973 Tour de France||1974 Tour de France||1975 Tour de France||1976 Tour de France||1977 Tour de France||1978 Tour de France||1979 Tour de France||1980 Tour de France||1981 Tour de France||1982 Tour de France||1983 Tour de France||1984 Tour de France||1985 Tour de France||1986 Tour de France||1987 Tour de France||1988 Tour de France||1989 Tour de France||1990 Tour de France||1991 Tour de France||1992 Tour de France||1993 Tour de France||1994 Tour de France||1995 Tour de France||1996 Tour de France||1997 Tour de France||1998 Tour de France||1999 Tour de France||2000 Tour de France||2001 Tour de France||2002 Tour de France||2003 Tour de France||2004 Tour de France||2005 Tour de France||2006 Tour de France||2007 Tour de France||2008 Tour de France||2009 Tour de France||2010 Tour de France||2011 Tour de France||2012 Tour de France||2013 Tour de France||2014 Tour de France||2015 Tour de France||2016 Tour de France||2017 Tour de France||2018 Tour de France||2019 Tour de France||2020 Tour de France||2021 Tour de France||2022 Tour de France||2023 Tour de France||Princess of Asturias Award for Sports||Amaury Sport Organisation||Société du Tour de France||L'Auto||road bicycle racing||France||France||July||Christian Prudhomme||Grand Tour||list of Tour de France winners||list of Dutch participants in the Tour de France||list of Dutch cyclists who have led the Tour de France general classification||list of Tour de France commentators||Champs-Élysées stage in the Tour de France||Tour de France records and statistics||list of Australians who have led the Tour de France general classification||list of Tour de France secondary classification winners||list of mountain passes and hills in the Tour de France||list of Tour de France Grands Départs||list of British cyclists who have led the Tour de France general classification||list of Belgian cyclists who have led the Tour de France general classification||list of highest points reached in the Tour de France||points classification in the Tour de France||Souvenir Jacques Goddet||Stage cities of the Tour de France||Tour de France during World War II||UCI World Tour||Template:Tour de France||Wikipedia:Vital articles/Level/4
Exxon	oil company||public company||gas station chain||United States of America||gasoline||diesel||lubricant||New York City||Las Colinas||Tokyo Stock Exchange||petroleum industry||ExxonMobil||United States of America||Standard Oil of New Jersey||ExxonMobil||Exxon
United_States_House_Committee_on_Appropriations	United States congressional committee||United States of America
Säter_Municipality	Dalarna County||Sweden||Säter||Category:Säter municipality||municipality of Sweden||Falun Municipality||Ludvika Municipality||Borlänge Municipality||Smedjebacken Municipality||Hedemora Municipality||Dalarna||Category:People from Säter Municipality||chairman of the municipal board in Säter Municipality, Sweden||municipality of Sweden||The Swedish Local Government Act
United_States_Office_of_Personnel_Management	government agency||Category:United States Office of Personnel Management||Office of Management and Budget||United States of America||Washington, D.C.||USAJobs||National Background Investigations Bureau||United States Chief Human Capital Officers Council||Office of Inspector General, Office of Personnel Management||Director of the United States Office of Personnel Management||United States Civil Service Commission
Defence_Select_Committee	United Kingdom||House of Commons Select Committee||Parliament of the United Kingdom
Audrey	unisex given name||female given name||given name||Audrey||Audrey||Latin script||Audrey||English||French||Dutch||Audree||Audrie||frequency of first names in the Netherlands, 2010
Israelis	Category:People of Israel||Category:Israeli people||ethnic group||human population||Judaism||Islam||Christianity||Druze||Middle Easterners||Asian people||inhabitant||Israel||Israel||Israel||Hebrew||Arabic||English||Labels for Locals||Jewish people||Israelites||WikiProject PCC Wikidata Pilot/University of Washington||Israel||Israel||Hebrew
Charlottesville,_Virginia	independent city||county seat||United States of America||Virginia||Charlotte of Mecklenburg-Strelitz||Category:Charlottesville, Virginia||Category:Births in Charlottesville, Virginia||Category:Deaths in Charlottesville||Poggio a Caiano||Besançon||Pleven||Winneba||Huehuetenango||Category:People from Charlottesville, Virginia||Albemarle County||Michael Signer||Nikuyah Walker||Lloyd Snook||mayor||Eastern Time Zone||Albemarle County||Charlotte County||Charlotte County||Brockhaus and Efron Encyclopedic Dictionary||Category:Maps of Charlottesville, Virginia||Charlottesville metropolitan area
